Datetime,PSAR_Indicator,PSAR_Val,SMBA_Indicator,SMBA_period1,SMBA_period2,OLS_Indicator,OLS_Val
2013-07-11 14:45:00,-1,0.9271522328683274,1,0.9156379366291035,0.9131070023205626,-1,-0.00028829563623483217
2013-07-11 15:15:00,-1,0.9265178061937802,1,0.9158179856298145,0.9134251244217007,-1,-0.00024484327417272355
2013-07-12 09:45:00,1,0.9112915660046482,1,0.9197279214948331,0.9156510778061978,1,0.00013729097374946223
2013-07-12 10:15:00,1,0.9117998045543847,1,0.9220642461543574,0.9171995160529383,1,0.000476126945999821
2013-07-12 10:45:00,1,0.9122978783331265,1,0.9285715181784452,0.9209880063145152,1,0.0013385484724597065
2013-07-12 11:15:00,1,0.9140903910006671,1,0.9352617222179878,0.9251287551756945,1,0.002276626416552576
2013-07-12 11:45:00,1,0.9172048714214454,1,0.9393068196146661,0.9280409328536088,1,0.002950600287686309
2013-07-12 12:15:00,1,0.9214466039927881,1,0.942389637254478,0.9305872419262653,1,0.0034097777307541014
2013-07-12 12:45:00,1,0.9253489979584234,1,0.9443097392782933,0.9325846807525269,1,0.003648611635705473
2013-07-12 13:15:00,1,0.9289392004068079,1,0.9457276875049493,0.9342990595757719,1,0.003808091049656868
2013-07-12 13:45:00,1,0.9322421866593216,1,0.9470482884862536,0.9359561608279936,1,0.003846458560839372
2013-07-12 14:15:00,1,0.9352809340116341,1,0.9487558328163981,0.9378526204764424,1,0.0036811238640569086
2013-07-12 14:45:00,1,0.9380765815757618,1,0.9504508931346534,0.9398832224683542,1,0.003531505979084147
2013-07-12 15:15:00,1,0.9406485773347592,1,0.9539945439451827,0.9428438812870392,1,0.003479270692775432
2013-07-15 09:45:00,1,0.9439256394582896,1,0.9552829007823955,0.9447974137693249,1,0.003010077634338724
2013-07-15 10:15:00,1,0.947884228071519,1,0.9566201183566434,0.9467163977092474,1,0.002374009015216625
2013-07-15 10:45:00,1,0.9513677860511608,1,0.9578082896192432,0.9484194733734999,1,0.001606812877956703
2013-07-15 11:15:00,1,0.9544333170732456,1,0.9614132603956245,0.951283401298547,1,0.0016023443726382559
2013-07-15 11:45:00,1,0.9579067656602211,1,0.9638320012440156,0.9535457547339297,1,0.0012211346430578093
2013-07-15 12:15:00,1,0.96089393144502,1,0.9649340522511431,0.9550939291612733,1,0.0012718290654636275
2013-07-15 12:45:00,1,0.963462894019947,1,0.9662206169093497,0.9566555867690351,1,0.0015477977904751932
2013-07-15 13:15:00,-1,0.9792436641230704,1,0.9655239836172562,0.9571262732164528,1,0.0013403975091432372
2013-07-15 13:45:00,-1,0.9788708983276779,1,0.9653367079358203,0.9577431522628607,1,0.0011613491236248479
2013-07-15 14:15:00,-1,0.9785055878481933,1,0.9648810189636534,0.958173980674872,1,0.0008265193975220452
2013-07-15 14:45:00,-1,0.9776273571567048,1,0.9643293583479945,0.9584201699210803,1,0.00042651112832606405
2013-07-15 15:15:00,-1,0.9767842556928759,1,0.9639823420684339,0.9586713439339751,1,4.4685053184443615e-05
2013-07-16 09:45:00,-1,0.9759748782876001,1,0.9623939489074747,0.9581823256918711,-1,-0.00045794475194548424
2013-07-16 10:15:00,-1,0.9743615381392606,1,0.9596491205523425,0.9571213967955098,-1,-0.0010585735013006092
2013-07-16 10:45:00,-1,0.9719667193579493,1,0.955789346997322,0.9552534108528253,-1,-0.0015365494839839305
2013-07-16 11:15:00,-1,0.9685568860823619,-1,0.9529616899097542,0.9537126452778243,-1,-0.00208109078727305
2013-07-16 11:45:00,-1,0.9654880361343333,-1,0.9515932354620737,0.9528197170330351,-1,-0.002370619114630222
2013-07-16 12:15:00,-1,0.962111550557897,-1,0.950860850162073,0.9521390457710779,-1,-0.0025781734823524696
2013-07-16 12:45:00,-1,0.959140243250633,-1,0.9501980378238772,0.951540840592026,-1,-0.0023216196425176056
2013-07-16 13:15:00,-1,0.9565254928202406,-1,0.9487795058074173,0.9505653549936935,-1,-0.0021621402285662023
2013-07-16 13:45:00,-1,0.9542245124414953,-1,0.9480113323686479,0.9499093651771067,-1,-0.0020020444690536294
2013-07-16 14:15:00,-1,0.9521996497081995,-1,0.9476609069976121,0.9495066211934995,-1,-0.0016649034470964503
2013-07-16 14:45:00,-1,0.9504177705028991,-1,0.9476583701500737,0.9493198623931737,-1,-0.0014914021716285406
2013-07-16 15:15:00,-1,0.9488497168022348,-1,0.9475583343549271,0.9490902418885757,-1,-0.0011716729117742903
2013-07-17 09:45:00,1,0.9373506563306968,-1,0.9492225433052656,0.9498234587720916,-1,-0.0006097198463822605
2013-07-17 10:15:00,1,0.9377596632450858,1,0.9529587714189791,0.9518241336397077,1,0.0003017011521902273
2013-07-17 10:45:00,1,0.9391135624200919,1,0.9568159582264226,0.9541634446295947,1,0.0013513376428539263
2013-07-17 11:15:00,1,0.9412521487811538,1,0.9593399930260412,0.9559999009062194,1,0.002043955967212895
2013-07-17 11:45:00,1,0.943262419960552,1,0.9608013445318851,0.9572575524662686,1,0.002401436392688502
2013-07-17 12:15:00,1,0.9451520748691864,1,0.9620062992670644,0.9584470422492006,1,0.00241160609444772
2013-07-17 12:45:00,1,0.9469283504833027,1,0.9634041389257089,0.9596236956120173,1,0.0024153041678146936
2013-07-17 13:15:00,1,0.948598049560572,1,0.9648454256501947,0.9608279887457761,1,0.0025077560019894115
2013-07-17 13:45:00,1,0.9501675666932052,1,0.9656987991777592,0.9618194113602233,1,0.002495275004375819
2013-07-17 14:15:00,1,0.9516429127978804,1,0.9641969571658583,0.9615778292535596,1,0.0020843266014691658
2013-07-17 14:45:00,-1,0.9747566684377912,1,0.9615583302366049,0.9606815800769741,1,0.001316668205038363
2013-07-17 15:15:00,-1,0.974056006803859,-1,0.9586152054721316,0.959512376351937,1,0.000479054587415357
2013-07-18 09:45:00,-1,0.9733693584026054,-1,0.9572905347633316,0.9590050249144764,-1,-0.00016117436424460476
2013-07-18 10:15:00,-1,0.972696442969377,-1,0.9565893326018831,0.9586566650541676,-1,-0.0007564100899395441
